PROVIDER_NAME,STATE,MONTH,TOTAL_HOURS_WORKED
CORDOVA COMMUNITY MED LTC,AK,1970-08,84.75
DENALI CENTER,AK,1970-08,337.17
HERITAGE PLACE,AK,1970-08,236.25
KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,AK,1970-08,181.26
MAPLE SPRINGS OF PALMER,AK,1970-08,267.8
MAPLE SPRINGS OF WASILLA,AK,1970-08,334
PRESTIGE CARE & REHAB CENTER OF ANCHORAGE,AK,1970-08,460.98
PROVIDENCE EXTENDED CARE,AK,1970-08,443.89
PROVIDENCE SEWARD MOUNTAIN HAVEN,AK,1970-08,265.06
PROVIDENCE TRANSITIONAL CARE CENTER,AK,1970-08,244.35
SEARHC SITKA LONG TERM CARE,AK,1970-08,106.3
WILDFLOWER COURT,AK,1970-08,291
WRANGELL MEDICAL CENTER LTC,AK,1970-08,163.5
YUKON KUSKOKWIM ELDER'S HOME,AK,1970-08,143.4
ADAMS REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,252.25
AHC MILLENIUM,AL,1970-08,228.03
ALBERTVILLE NURSING HOME,AL,1970-08,829.16
ALICEVILLE MANOR NURSING HOME,AL,1970-08,388.75
ALLEN HEALTH AND REHABILITATION,AL,1970-08,190.5
ALTOONA  HEALTH & REHAB,AL,1970-08,197.33
ANDALUSIA MANOR,AL,1970-08,466.5
ANNISTON HEALTH AND REHAB SERVICES,AL,1970-08,269.75
ARABELLA HEALTH & WELLNESS OF BIRMINGHAM,AL,1970-08,196.3
ARABELLA HEALTH & WELLNESS OF PHENIX CITY,AL,1970-08,224.31
ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,1970-08,137.59
ARABELLA HEALTH AND WELLNESS OF FAIRHOPE,AL,1970-08,260.14
ARABELLA HEALTH AND WELLNESS OF MONTGOMERY,AL,1970-08,416.5
ARABELLA HEALTH AND WELLNESS OF SELMA,AL,1970-08,377.82
ARBOR LAKE HEALTH AND REHAB,AL,1970-08,212.84
"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",AL,1970-08,439.05
ARBOR WOODS HEALTH AND REHAB,AL,1970-08,291.03
ARLINGTON REHABILITATION & HEALTHCARE CENTER,AL,1970-08,253.03
"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",AL,1970-08,676.76
ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER,AL,1970-08,431.99
"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",AL,1970-08,491.64
