PROVIDER_ID,PROVIDER_NAME,STATE,MONTH,PCT_OVERTIME_HOURS
015009,"BURNS NURSING HOME, INC.",AL,1970-08,0
015010,COOSA VALLEY HEALTHCARE CENTER,AL,1970-08,0
015012,HIGHLANDS HEALTH AND REHAB,AL,1970-08,0
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,1970-08,0
015015,PLANTATION MANOR NURSING HOME,AL,1970-08,0
015016,ATHENS HEALTH AND REHABILITATION LLC,AL,1970-08,0
015019,MERRY WOOD LODGE,AL,1970-08,0
015023,HATLEY HEALTH CARE INC,AL,1970-08,27.31
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,1970-08,0
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015028,KELLER LANDING,AL,1970-08,0
015031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,1970-08,0
015032,DIVERSICARE OF FOLEY,AL,1970-08,0
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015035,WEST GATE VILLAGE,AL,1970-08,0
015040,DIVERSICARE OF MONTGOMERY,AL,1970-08,0
015042,"SUMTER HEALTH AND REHABILITATION, L L C",AL,1970-08,0
015044,"CAREGIVERS OF PLEASANT GROVE, INC",AL,1970-08,0
015045,EAMC LANIER NURSING HOME,AL,1970-08,0
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015048,CULLMAN HEALTH CARE CENTER,AL,1970-08,0
015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,1970-08,0
015050,OAK CREST HEALTH & WELLNESS,AL,1970-08,0
015053,CLEBURNE COUNTY NURSING HOME,AL,1970-08,0
015060,RIDGEWAY REHABILITATION & SENIOR LIVING,AL,1970-08,0
015063,DIVERSICARE OF BOAZ,AL,1970-08,0
015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,1970-08,0
015067,COTTAGE OF THE SHOALS,AL,1970-08,0
015071,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,1970-08,0
015073,"HANCEVILLE NURSING & REHAB CENTER, INC",AL,1970-08,0
015075,"SUMMERFORD HEALTH AND REHAB, LLC",AL,1970-08,25.06
015076,FAIR HAVEN,AL,1970-08,13.47
015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,1970-08,0
015084,PARK PLACE,AL,1970-08,0
015089,EVERGREEN NURSING HOME,AL,1970-08,0
015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,1970-08,0
015097,"SOUTH HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015098,ALLEN HEALTH AND REHABILITATION,AL,1970-08,0
015100,CROWNE HEALTH CARE OF MOBILE,AL,1970-08,0
015101,ALTOONA  HEALTH & REHAB,AL,1970-08,0
015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015104,SOUTHLAND NURSING HOME,AL,1970-08,0
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015111,DIVERSICARE OF BIG SPRINGS,AL,1970-08,0
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,1970-08,0
015113,RIVER CITY CENTER,AL,1970-08,16.78
015114,SHADESCREST HEALTH CARE CENTER,AL,1970-08,0
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,AL,1970-08,1.68
015117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015119,ARABELLA HEALTH AND WELLNESS OF SELMA,AL,1970-08,0
015120,"NHC HEALTHCARE, ANNISTON",AL,1970-08,0
015121,CROWNE HEALTH CARE OF CITRONELLE,AL,1970-08,0
015123,WASHINGTON COUNTY NURSING HOME,AL,1970-08,5.51
015124,CLAY COUNTY NURSING HOME,AL,1970-08,5.34
015126,TRAYLOR RETIREMENT COMMUNITY,AL,1970-08,0
015127,BROOKSHIRE HEALTHCARE CENTER,AL,1970-08,0
015128,"NHC HEALTHCARE, MOULTON",AL,1970-08,22.71
015129,ATMORE NURSING CENTER,AL,1970-08,2.15
015132,DIVERSICARE OF OXFORD,AL,1970-08,0
015133,MAGNOLIA RIDGE,AL,1970-08,0
015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,1970-08,0
015135,JOHN KNOX MANOR INC  I I,AL,1970-08,0
015136,FALKVILLE REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,11.09
015137,ALICEVILLE MANOR NURSING HOME,AL,1970-08,0
015138,HENDRIX HEALTH AND REHABILITATION,AL,1970-08,0
015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015141,ARBOR WOODS HEALTH AND REHAB,AL,1970-08,0
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015143,FOREST MANOR HEALTH AND REHAB,AL,1970-08,16.58
015144,THE HEALTHCARE CENTER AT BUCK CREEK,AL,1970-08,0
015145,DIVERSICARE OF RIVERCHASE,AL,1970-08,0
015147,GLENWOOD CENTER,AL,1970-08,3.86
015148,DIVERSICARE OF ARAB,AL,1970-08,0
015149,SUNSET MANOR,AL,1970-08,0
015150,WIREGRASS REHABILITATION CENTER & NURSING HOME,AL,1970-08,0
015151,AZALEA HEALTH AND REHAB LLC,AL,1970-08,0
015152,EXTENDICARE HEALTH CENTER,AL,1970-08,0
015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,AL,1970-08,0
015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,1970-08,0
015155,"RIDGEVIEW HEALTH SERVICES, INC",AL,1970-08,1.47
015156,CROWNE HEALTH CARE OF FT PAYNE,AL,1970-08,0
015157,HALEYVILLE HEALTH CARE CENTER,AL,1970-08,0
015158,DIVERSICARE OF MARION,AL,1970-08,0
015159,DIVERSICARE OF ONEONTA,AL,1970-08,0
015160,SYLACAUGA HEALTH AND REHAB SERVICES,AL,1970-08,0
015162,"TALLADEGA HEALTHCARE CENTER, INC",AL,1970-08,0
015163,ALBERTVILLE NURSING HOME,AL,1970-08,0
015164,CHOCTAW HEALTH AND REHAB,AL,1970-08,0
015166,DADEVILLE HEALTHCARE CENTER,AL,1970-08,0
015167,MARION REGIONAL NURSING HOME,AL,1970-08,0
015168,LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,AL,1970-08,0
015169,"FLORENCE NURSING AND REHABILITATION CTR,  LLC",AL,1970-08,0
015171,SOUTHERN SPRINGS HEALTHCARE FACILITY,AL,1970-08,0
015174,COOSA VALLEY HEALTH AND REHAB,AL,1970-08,11.94
015175,WESLEY PLACE ON HONEYSUCKLE,AL,1970-08,7.91
015176,"CROSSVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,0
015177,WOODHAVEN MANOR NURSING HOME,AL,1970-08,0
015178,GREENE COUNTY NURSING HOME,AL,1970-08,18.99
