PROVIDER_NAME,STATE,MONTH,TOTAL_NURSE_HOURS,TOTAL_PATIENT_DAYS,NURSE_HOURS_TO_PATIENT_RATIO
CORDOVA COMMUNITY MED LTC,AK,1970-08,84.75,8,10.59
WRANGELL MEDICAL CENTER LTC,AK,1970-08,163.5,17,9.62
YUKON KUSKOKWIM ELDER'S HOME,AK,1970-08,143.4,15,9.56
KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,AK,1970-08,181.26,20,9.06
MAPLE SPRINGS OF WASILLA,AK,1970-08,334,47,7.11
PROVIDENCE SEWARD MOUNTAIN HAVEN,AK,1970-08,265.06,39,6.8
WILDFLOWER COURT,AK,1970-08,291,46,6.33
SEARHC SITKA LONG TERM CARE,AK,1970-08,106.3,17,6.25
HERITAGE PLACE,AK,1970-08,236.25,44,5.37
PROVIDENCE TRANSITIONAL CARE CENTER,AK,1970-08,244.35,47,5.2
PROVIDENCE EXTENDED CARE,AK,1970-08,443.89,94,4.72
PRESTIGE CARE & REHAB CENTER OF ANCHORAGE,AK,1970-08,460.98,98,4.7
DENALI CENTER,AK,1970-08,337.17,76,4.44
MAPLE SPRINGS OF PALMER,AK,1970-08,267.8,62,4.32
HIGHLANDS HEALTH AND REHAB,AL,1970-08,266.06,40,6.65
MARENGO NURSING HOME,AL,1970-08,341.5,57,5.99
ARBOR WOODS HEALTH AND REHAB,AL,1970-08,291.03,50,5.82
GADSDEN HEALTH AND REHAB CENTER,AL,1970-08,667.75,118,5.66
"WALKER REHABILITATION CENTER, INC",AL,1970-08,197.17,35,5.63
EXTENDICARE HEALTH CENTER,AL,1970-08,876.25,156,5.62
FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,1970-08,459.5,86,5.34
PIEDMONT HEALTH CARE CENTER,AL,1970-08,422.22,80,5.28
ALBERTVILLE NURSING HOME,AL,1970-08,829.16,158,5.25
TROY HEALTH & REHABILITATION CENTER,AL,1970-08,554.5,106,5.23
"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",AL,1970-08,491.64,95,5.18
LAFAYETTE EXTENDED CARE,AL,1970-08,278.5,54,5.16
SUNSET MANOR,AL,1970-08,302.96,59,5.13
SELF SKILLED NURSING & REHAB,AL,1970-08,398.35,78,5.11
GOODWATER HEALTHCARE CENTER,AL,1970-08,292.75,58,5.05
FAIRVIEW AT REDSTONE VILLAGE,AL,1970-08,272.57,54,5.05
CROWNE HEALTH CARE OF GREENVILLE,AL,1970-08,416.42,83,5.02
CROWNE HEALTH CARE OF MOBILE,AL,1970-08,679,136,4.99
ENTERPRISE HEALTH & REHABILITATION CENTER,AL,1970-08,758.7,152,4.99
CROWNE HEALTH CARE OF MONTGOMERY,AL,1970-08,748.5,150,4.99
"HUNTSVILLE HEALTH & REHABILITATION, LLC",AL,1970-08,515.64,104,4.96
WASHINGTON COUNTY NURSING HOME,AL,1970-08,376.25,77,4.89
KIRKWOOD BY THE RIVER,AL,1970-08,282.61,58,4.87
ATHENS HEALTH AND REHABILITATION LLC,AL,1970-08,597.55,123,4.86
