PROVIDER_ID,PROVIDER_NAME,STATE,MONTH_START_DATE,QUARTER_LABEL,DAYS_IN_MONTH,DAYS_IN_QUARTER,TOTAL_PATIENTS,NUMBER_OF_CERTIFIED_BEDS,OCCUPANCY_RATE_PCT
015009,"BURNS NURSING HOME, INC.",AL,2024-04-01,2024 Q2,30,91,1576,57,92.16
015009,"BURNS NURSING HOME, INC.",AL,2024-05-01,2024 Q2,31,91,1617,57,91.51
015009,"BURNS NURSING HOME, INC.",AL,2024-06-01,2024 Q2,30,91,1656,57,96.84
015010,COOSA VALLEY HEALTHCARE CENTER,AL,2024-04-01,2024 Q2,30,91,2341,85,91.80
015010,COOSA VALLEY HEALTHCARE CENTER,AL,2024-05-01,2024 Q2,31,91,2375,85,90.13
015010,COOSA VALLEY HEALTHCARE CENTER,AL,2024-06-01,2024 Q2,30,91,2335,85,91.57
015012,HIGHLANDS HEALTH AND REHAB,AL,2024-04-01,2024 Q2,30,91,1404,50,93.60
015012,HIGHLANDS HEALTH AND REHAB,AL,2024-05-01,2024 Q2,31,91,1334,50,86.06
015012,HIGHLANDS HEALTH AND REHAB,AL,2024-06-01,2024 Q2,30,91,1303,50,86.87
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,2024-04-01,2024 Q2,30,91,2225,92,80.62
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,2024-05-01,2024 Q2,31,91,2251,92,78.93
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,2024-06-01,2024 Q2,30,91,2147,92,77.79
015015,PLANTATION MANOR NURSING HOME,AL,2024-04-01,2024 Q2,30,91,2749,103,88.96
015015,PLANTATION MANOR NURSING HOME,AL,2024-05-01,2024 Q2,31,91,2818,103,88.26
015015,PLANTATION MANOR NURSING HOME,AL,2024-06-01,2024 Q2,30,91,2791,103,90.32
015016,ATHENS HEALTH AND REHABILITATION LLC,AL,2024-04-01,2024 Q2,30,91,3763,149,84.18
015016,ATHENS HEALTH AND REHABILITATION LLC,AL,2024-05-01,2024 Q2,31,91,4000,149,86.60
015016,ATHENS HEALTH AND REHABILITATION LLC,AL,2024-06-01,2024 Q2,30,91,3914,149,87.56
015019,MERRY WOOD LODGE,AL,2024-04-01,2024 Q2,30,91,2977,124,80.03
015019,MERRY WOOD LODGE,AL,2024-05-01,2024 Q2,31,91,3089,124,80.36
015019,MERRY WOOD LODGE,AL,2024-06-01,2024 Q2,30,91,2895,124,77.82
015023,HATLEY HEALTH CARE INC,AL,2024-04-01,2024 Q2,30,91,2635,201,43.70
015023,HATLEY HEALTH CARE INC,AL,2024-05-01,2024 Q2,31,91,2745,201,44.05
015023,HATLEY HEALTH CARE INC,AL,2024-06-01,2024 Q2,30,91,2576,201,42.72
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,2024-04-01,2024 Q2,30,91,4053,170,79.47
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,2024-05-01,2024 Q2,31,91,4198,170,79.66
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,2024-06-01,2024 Q2,30,91,3995,170,78.33
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,3483,121,95.95
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,3525,121,93.97
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,3405,121,93.80
015028,KELLER LANDING,AL,2024-04-01,2024 Q2,30,91,2388,109,73.03
015028,KELLER LANDING,AL,2024-05-01,2024 Q2,31,91,2396,109,70.91
015028,KELLER LANDING,AL,2024-06-01,2024 Q2,30,91,2356,109,72.05
015031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,2024-04-01,2024 Q2,30,91,5545,222,83.26
015031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,2024-05-01,2024 Q2,31,91,5731,222,83.28
015031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,2024-06-01,2024 Q2,30,91,5479,222,82.27
015032,DIVERSICARE OF FOLEY,AL,2024-04-01,2024 Q2,30,91,3791,154,82.06
015032,DIVERSICARE OF FOLEY,AL,2024-05-01,2024 Q2,31,91,4046,154,84.75
015032,DIVERSICARE OF FOLEY,AL,2024-06-01,2024 Q2,30,91,3827,154,82.84
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,2241,78,95.77
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,2306,78,95.37
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,2296,78,98.12
015035,WEST GATE VILLAGE,AL,2024-04-01,2024 Q2,30,91,3118,125,83.15
015035,WEST GATE VILLAGE,AL,2024-05-01,2024 Q2,31,91,3205,125,82.71
015035,WEST GATE VILLAGE,AL,2024-06-01,2024 Q2,30,91,3050,125,81.33
015040,DIVERSICARE OF MONTGOMERY,AL,2024-04-01,2024 Q2,30,91,3518,138,84.98
015040,DIVERSICARE OF MONTGOMERY,AL,2024-05-01,2024 Q2,31,91,3580,138,83.68
015040,DIVERSICARE OF MONTGOMERY,AL,2024-06-01,2024 Q2,30,91,3375,138,81.52
015042,"SUMTER HEALTH AND REHABILITATION, L L C",AL,2024-04-01,2024 Q2,30,91,3086,125,82.29
015042,"SUMTER HEALTH AND REHABILITATION, L L C",AL,2024-05-01,2024 Q2,31,91,3232,125,83.41
015042,"SUMTER HEALTH AND REHABILITATION, L L C",AL,2024-06-01,2024 Q2,30,91,3042,125,81.12
015044,"CAREGIVERS OF PLEASANT GROVE, INC",AL,2024-04-01,2024 Q2,30,91,1255,64,65.36
015044,"CAREGIVERS OF PLEASANT GROVE, INC",AL,2024-05-01,2024 Q2,31,91,1375,64,69.30
015044,"CAREGIVERS OF PLEASANT GROVE, INC",AL,2024-06-01,2024 Q2,30,91,1322,64,68.85
015045,EAMC LANIER NURSING HOME,AL,2024-04-01,2024 Q2,30,91,2249,103,72.78
015045,EAMC LANIER NURSING HOME,AL,2024-05-01,2024 Q2,31,91,2199,103,68.87
015045,EAMC LANIER NURSING HOME,AL,2024-06-01,2024 Q2,30,91,2072,103,67.06
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,3280,113,96.76
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,3323,113,94.86
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,3251,113,95.90
015048,CULLMAN HEALTH CARE CENTER,AL,2024-04-01,2024 Q2,30,91,2582,95,90.60
015048,CULLMAN HEALTH CARE CENTER,AL,2024-05-01,2024 Q2,31,91,2672,95,90.73
015048,CULLMAN HEALTH CARE CENTER,AL,2024-06-01,2024 Q2,30,91,2668,95,93.61
015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,2024-04-01,2024 Q2,30,91,3142,117,89.52
015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,2024-05-01,2024 Q2,31,91,3229,117,89.03
015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,2024-06-01,2024 Q2,30,91,3107,117,88.52
015050,OAK CREST HEALTH & WELLNESS,AL,2024-04-01,2024 Q2,30,91,1614,79,68.10
015050,OAK CREST HEALTH & WELLNESS,AL,2024-05-01,2024 Q2,31,91,1763,79,71.99
015050,OAK CREST HEALTH & WELLNESS,AL,2024-06-01,2024 Q2,30,91,1727,79,72.87
015053,CLEBURNE COUNTY NURSING HOME,AL,2024-04-01,2024 Q2,30,91,2217,82,90.12
015053,CLEBURNE COUNTY NURSING HOME,AL,2024-05-01,2024 Q2,31,91,2203,82,86.66
015053,CLEBURNE COUNTY NURSING HOME,AL,2024-06-01,2024 Q2,30,91,2144,82,87.15
015060,RIDGEWAY REHABILITATION & SENIOR LIVING,AL,2024-04-01,2024 Q2,30,91,1703,69,82.27
015060,RIDGEWAY REHABILITATION & SENIOR LIVING,AL,2024-05-01,2024 Q2,31,91,1755,69,82.05
015060,RIDGEWAY REHABILITATION & SENIOR LIVING,AL,2024-06-01,2024 Q2,30,91,1668,69,80.58
015063,DIVERSICARE OF BOAZ,AL,2024-04-01,2024 Q2,30,91,2823,100,94.10
015063,DIVERSICARE OF BOAZ,AL,2024-05-01,2024 Q2,31,91,3014,100,97.23
015063,DIVERSICARE OF BOAZ,AL,2024-06-01,2024 Q2,30,91,2862,100,95.40
015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,2024-04-01,2024 Q2,30,91,4372,162,89.96
015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,2024-05-01,2024 Q2,31,91,4392,162,87.46
015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,2024-06-01,2024 Q2,30,91,4080,162,83.95
015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,2024-04-01,2024 Q2,30,91,1698,63,89.84
015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,2024-05-01,2024 Q2,31,91,1699,63,86.99
015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,2024-06-01,2024 Q2,30,91,1554,63,82.22
015067,COTTAGE OF THE SHOALS,AL,2024-04-01,2024 Q2,30,91,2693,103,87.15
015067,COTTAGE OF THE SHOALS,AL,2024-05-01,2024 Q2,31,91,2649,103,82.96
015067,COTTAGE OF THE SHOALS,AL,2024-06-01,2024 Q2,30,91,2719,103,87.99
015071,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,2024-04-01,2024 Q2,30,91,1306,50,87.07
015071,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,2024-05-01,2024 Q2,31,91,1465,50,94.52
015071,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,2024-06-01,2024 Q2,30,91,1436,50,95.73
015073,"HANCEVILLE NURSING & REHAB CENTER, INC",AL,2024-04-01,2024 Q2,30,91,5738,208,91.96
015073,"HANCEVILLE NURSING & REHAB CENTER, INC",AL,2024-05-01,2024 Q2,31,91,5981,208,92.76
015073,"HANCEVILLE NURSING & REHAB CENTER, INC",AL,2024-06-01,2024 Q2,30,91,5649,208,90.53
015075,"SUMMERFORD HEALTH AND REHAB, LLC",AL,2024-04-01,2024 Q2,30,91,4433,216,68.41
015075,"SUMMERFORD HEALTH AND REHAB, LLC",AL,2024-05-01,2024 Q2,31,91,4635,216,69.22
015075,"SUMMERFORD HEALTH AND REHAB, LLC",AL,2024-06-01,2024 Q2,30,91,4459,216,68.81
015076,FAIR HAVEN,AL,2024-04-01,2024 Q2,30,91,6806,259,87.59
015076,FAIR HAVEN,AL,2024-05-01,2024 Q2,31,91,7130,259,88.80
015076,FAIR HAVEN,AL,2024-06-01,2024 Q2,30,91,6907,259,88.89
