PROVIDER_ID,PROVIDER_NAME,STATE,MONTH,TOTAL_PATIENTS,NUMBER_OF_CERTIFIED_BEDS,OCCUPANCY_RATE_PCT
015009,"BURNS NURSING HOME, INC.",AL,1970-08,52,57,91.23
015010,COOSA VALLEY HEALTHCARE CENTER,AL,1970-08,80,85,94.12
015012,HIGHLANDS HEALTH AND REHAB,AL,1970-08,40,50,80.00
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,1970-08,73,92,79.35
015015,PLANTATION MANOR NURSING HOME,AL,1970-08,96,103,93.20
015016,ATHENS HEALTH AND REHABILITATION LLC,AL,1970-08,123,149,82.55
015019,MERRY WOOD LODGE,AL,1970-08,100,124,80.65
015023,HATLEY HEALTH CARE INC,AL,1970-08,87,201,43.28
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,1970-08,134,170,78.82
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,1970-08,110,121,90.91
015028,KELLER LANDING,AL,1970-08,79,109,72.48
015031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,1970-08,179,222,80.63
015032,DIVERSICARE OF FOLEY,AL,1970-08,126,154,81.82
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,1970-08,74,78,94.87
015035,WEST GATE VILLAGE,AL,1970-08,98,125,78.40
015040,DIVERSICARE OF MONTGOMERY,AL,1970-08,114,138,82.61
015042,"SUMTER HEALTH AND REHABILITATION, L L C",AL,1970-08,99,125,79.20
015044,"CAREGIVERS OF PLEASANT GROVE, INC",AL,1970-08,47,64,73.44
015045,EAMC LANIER NURSING HOME,AL,1970-08,70,103,67.96
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,1970-08,112,113,99.12
015048,CULLMAN HEALTH CARE CENTER,AL,1970-08,82,95,86.32
015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,1970-08,99,117,84.62
015050,OAK CREST HEALTH & WELLNESS,AL,1970-08,58,79,73.42
015053,CLEBURNE COUNTY NURSING HOME,AL,1970-08,72,82,87.80
015060,RIDGEWAY REHABILITATION & SENIOR LIVING,AL,1970-08,55,69,79.71
015063,DIVERSICARE OF BOAZ,AL,1970-08,93,100,93.00
015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,1970-08,138,162,85.19
015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,1970-08,55,63,87.30
015067,COTTAGE OF THE SHOALS,AL,1970-08,90,103,87.38
015071,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,1970-08,45,50,90.00
015073,"HANCEVILLE NURSING & REHAB CENTER, INC",AL,1970-08,183,208,87.98
015075,"SUMMERFORD HEALTH AND REHAB, LLC",AL,1970-08,148,216,68.52
015076,FAIR HAVEN,AL,1970-08,230,259,88.80
015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,1970-08,87,111,78.38
015084,PARK PLACE,AL,1970-08,98,103,95.15
015089,EVERGREEN NURSING HOME,AL,1970-08,53,61,86.89
015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,1970-08,149,190,78.42
015097,"SOUTH HEALTH AND REHABILITATION, LLC",AL,1970-08,73,83,87.95
015098,ALLEN HEALTH AND REHABILITATION,AL,1970-08,73,119,61.34
015100,CROWNE HEALTH CARE OF MOBILE,AL,1970-08,136,148,91.89
015101,ALTOONA  HEALTH & REHAB,AL,1970-08,48,50,96.00
015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",AL,1970-08,140,164,85.37
015104,SOUTHLAND NURSING HOME,AL,1970-08,56,91,61.54
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,1970-08,94,95,98.95
015111,DIVERSICARE OF BIG SPRINGS,AL,1970-08,120,145,82.76
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,1970-08,82,111,73.87
015113,RIVER CITY CENTER,AL,1970-08,150,183,81.97
015114,SHADESCREST HEALTH CARE CENTER,AL,1970-08,97,107,90.65
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",AL,1970-08,107,114,93.86
015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,AL,1970-08,93,159,58.49
015117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,1970-08,96,100,96.00
015119,ARABELLA HEALTH AND WELLNESS OF SELMA,AL,1970-08,132,172,76.74
015120,"NHC HEALTHCARE, ANNISTON",AL,1970-08,126,151,83.44
015121,CROWNE HEALTH CARE OF CITRONELLE,AL,1970-08,66,69,95.65
015123,WASHINGTON COUNTY NURSING HOME,AL,1970-08,77,88,87.50
015124,CLAY COUNTY NURSING HOME,AL,1970-08,74,83,89.16
015126,TRAYLOR RETIREMENT COMMUNITY,AL,1970-08,73,123,59.35
015127,BROOKSHIRE HEALTHCARE CENTER,AL,1970-08,119,129,92.25
015128,"NHC HEALTHCARE, MOULTON",AL,1970-08,111,136,81.62
015129,ATMORE NURSING CENTER,AL,1970-08,78,100,78.00
