PROVIDER_NAME,STATE,MONTH,NURSE_HOURS_TO_PATIENT_RATIO,OCCUPANCY_RATE_PCT
CORDOVA COMMUNITY MED LTC,AK,1970-08,10.59,80.00
DENALI CENTER,AK,1970-08,4.44,84.44
HERITAGE PLACE,AK,1970-08,5.37,73.33
KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,AK,1970-08,9.06,68.97
MAPLE SPRINGS OF PALMER,AK,1970-08,4.32,92.54
MAPLE SPRINGS OF WASILLA,AK,1970-08,7.11,70.15
PRESTIGE CARE & REHAB CENTER OF ANCHORAGE,AK,1970-08,4.7,96.08
PROVIDENCE EXTENDED CARE,AK,1970-08,4.72,97.92
PROVIDENCE SEWARD MOUNTAIN HAVEN,AK,1970-08,6.8,97.50
PROVIDENCE TRANSITIONAL CARE CENTER,AK,1970-08,5.2,94.00
SEARHC SITKA LONG TERM CARE,AK,1970-08,6.25,89.47
WILDFLOWER COURT,AK,1970-08,6.33,80.70
WRANGELL MEDICAL CENTER LTC,AK,1970-08,9.62,94.44
YUKON KUSKOKWIM ELDER'S HOME,AK,1970-08,9.56,83.33
ADAMS REHABILITATION AND HEALTHCARE CENTER,AL,1970-08,4.5,63.64
AHC MILLENIUM,AL,1970-08,2.89,86.81
ALBERTVILLE NURSING HOME,AL,1970-08,5.25,99.37
ALICEVILLE MANOR NURSING HOME,AL,1970-08,4.23,92.00
ALLEN HEALTH AND REHABILITATION,AL,1970-08,2.61,61.34
ALTOONA  HEALTH & REHAB,AL,1970-08,4.11,96.00
ANDALUSIA MANOR,AL,1970-08,4.86,62.34
ANNISTON HEALTH AND REHAB SERVICES,AL,1970-08,3.41,92.94
ARABELLA HEALTH & WELLNESS OF BIRMINGHAM,AL,1970-08,2.69,44.79
ARABELLA HEALTH & WELLNESS OF PHENIX CITY,AL,1970-08,2.64,98.84
ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,1970-08,3.06,90.00
ARABELLA HEALTH AND WELLNESS OF FAIRHOPE,AL,1970-08,3.61,86.75
ARABELLA HEALTH AND WELLNESS OF MONTGOMERY,AL,1970-08,4.73,72.73
ARABELLA HEALTH AND WELLNESS OF SELMA,AL,1970-08,2.86,76.74
ARBOR LAKE HEALTH AND REHAB,AL,1970-08,2.96,82.76
"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",AL,1970-08,3.51,55.56
ARBOR WOODS HEALTH AND REHAB,AL,1970-08,5.82,58.82
ARLINGTON REHABILITATION & HEALTHCARE CENTER,AL,1970-08,2.81,76.92
"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",AL,1970-08,4.83,85.37
ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER,AL,1970-08,4.04,89.17
"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",AL,1970-08,5.18,80.51
ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,AL,1970-08,3.37,104.00
ATHENS HEALTH AND REHABILITATION LLC,AL,1970-08,4.86,82.55
ATMORE NURSING CENTER,AL,1970-08,3.88,78.00
ATTALLA HEALTH AND REHAB,AL,1970-08,2.77,59.34
AZALEA HEALTH AND REHAB LLC,AL,1970-08,3.98,41.18
