PROVIDER_ID,PROVIDER_NAME,STATE,OVERALL_RATING,SHORT_STAY_RATING,LONG_STAY_RATING
676446,MISSION VALLEY NURSING AND TRANSITIONAL CARE,TX,5,5,5
395188,BUCKINGHAM VALLEY REHABILITATION AND NURSINGCENTER,PA,5,4,5
315515,"ATRIUM AT NAVESINK HARBOR, THE",NJ,5,4,5
265734,COUNTRY MEADOWS,MO,5,1,2
21E009,SACRED HEART HOME INC,MD,5,,5
165327,SUNRISE TERRACE NURSING & REHABILITATION CENTER,IA,5,,5
345048,MOUNTAIN RIDGE HEALTH AND REHAB,NC,5,5,5
265842,SSM HEALTH DEPAUL HOSPITAL - ANNA HOUSE,MO,5,5,5
505532,MISSION HEALTHCARE AT RENTON,WA,5,4,5
065410,COLUMBINE COMMONS HEALTH AND REHAB LLC,CO,5,5,5
366468,VANCREST OF PAYNE,OH,5,2,5
396102,CONEMAUGH MEMORIAL MEDICAL CENTER TCU,PA,5,5,
155771,OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,IN,5,5,4
366364,TRIPLE CREEK RETIREMENT COMMUNITY,OH,5,3,5
21E104,ST. JOSEPH'S  NURSING  HOME,MD,5,,4
245619,SAINT THERESE AT OXBOW LAKE,MN,5,5,4
105827,FINNISH-AMERICAN VILLAGE,FL,5,3,5
335573,LOCKPORT REHAB & HEALTH CARE CENTER,NY,5,5,5
505276,FRONTIER REHAB & EXTENDED CARE,WA,5,4,4
105727,WASHINGTON REHABILITATION AND NURSING CENTER,FL,5,1,4
065239,SAN LUIS CARE CENTER,CO,5,,4
065144,GUNNISON VALLEY HEALTH SENIOR CARE CENTER,CO,5,,3
285279,RIDGEWOOD REHABILITATION & CARE CENTER,NE,5,,5
146165,"ADMIRAL AT THE LAKE, THE",IL,5,1,2
295026,GROVER C DILS MEDICAL CENTER SNF,NV,5,,3
315328,MAPLE GLEN CENTER,NJ,5,5,5
555853,VETERANS HOME OF CALIFORNIA - BARSTOW,CA,5,,5
055222,SPRINGS ROAD HEALTHCARE,CA,5,4,5
335421,TARRYTOWN HALL CARE CENTER,NY,5,3,2
045381,GREENBRIER NURSING AND REHABILITATION CENTER,AR,5,5,5
265446,COMMUNITY SPRINGS HEALTHCARE FACILITY,MO,5,2,3
245432,GRACEPOINTE CROSSING GABLES,MN,5,5,4
275135,DISCOVERY CARE CENTRE LTD,MT,5,5,3
315199,IMPERIAL CARE CENTER,NJ,5,4,5
015450,WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,AL,5,5,3
555301,THE VILLAS AT POWAY,CA,5,5,5
205184,MAINE VETERANS HOME - SO PARIS,ME,5,4,5
075301,CALEB HITCHCOCK HEALTH CENTER,CT,5,4,5
505329,BUENA VISTA HEALTHCARE,WA,5,5,4
505350,REGENCY CARE CENTER AT MONROE,WA,5,3,2
155740,TIMBERCREST CHURCH OF THE BRETHREN HOME,IN,5,5,2
155753,HAMPTON OAKS HEALTH CAMPUS,IN,5,5,5
365706,PLEASANT LAKE VILLA,OH,5,5,5
165240,GOOD SAMARITAN SOCIETY - WAUKON,IA,5,,3
225564,LIFE CARE CENTER OF ATTLEBORO,MA,5,4,5
055488,LA MESA HEALTHCARE CENTER,CA,5,4,5
455069,BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL SKIL,TX,5,5,
395736,WILLOWBROOKE COURT-GRANITE,PA,5,3,5
395760,CEDAR CREST POST ACUTE,PA,5,3,5
105305,FAIRWAY OAKS CENTER,FL,5,3,5
245212,ESSENTIA HEALTH OAK CROSSING,MN,5,4,5
235649,VALLEY HEALTH CENTER,MI,5,,4
015028,KELLER LANDING,AL,5,2,2
056245,CALIFORNIA PACIFIC MEDICAL CTR- DAVIES CAMPUS HOSP,CA,5,4,4
056105,BALBOA NURSING & REHABILITATION CENTER,CA,5,4,5
396098,UPMC MAGEE-WOMENS HOSPITAL TCU,PA,5,5,
175276,NORTH POINT SKILLED NURSING CENTER,KS,5,3,4
235237,CALHOUN COUNTY MEDICAL CARE FACILITY,MI,5,5,2
676266,LONGHORN VILLAGE,TX,5,4,3
675973,MCLEAN CARE CENTER,TX,5,,5
396145,MENNO HAVEN REHABILITATION CENTER,PA,5,5,
396113,"HEALTH CENTER AT THE HILL AT WHITEMARSH, THE",PA,5,4,4
555875,CHANNEL ISLANDS POST ACUTE,CA,5,2,5
465170,ASPEN RIDGE OF UTAH VALLEY,UT,5,5,
315490,COMMUNITY MEDICAL CENTER TCU,NJ,5,4,
025034,PROVIDENCE VALDEZ MEDICAL CENTER,AK,5,,5
555841,GREENHILLS MANOR,CA,5,,5
325119,ADVANCED HEALTH CARE OF ALBUQUERQUE,NM,5,5,
555842,JONES CONVALESCENT HOSPITAL,CA,5,5,4
235606,FISHER SENIOR CARE AND REHAB,MI,5,5,5
335701,PATHWAYS NURSING AND REHABILITATION CENTER,NY,5,,5
366376,OTTERBEIN MIDDLETOWN,OH,5,5,5
535034,WESTWARD HEIGHTS CARE CENTER,WY,5,5,4
675282,THE MEDICAL LODGE OF AMARILLO,TX,5,4,5
515173,E.A. HAWSE HEALTHCARE CENTER,WV,5,4,4
555915,THE SPRINGS HEALTH AND REHABILITATION CENTER,CA,5,5,5
675837,KRUSE VILLAGE SENIOR LIVING COMMUNITY,TX,5,4,5
105782,SOLARIS HEALTHCARE APOPKA,FL,5,1,3
035092,BELLA VITA HEALTH AND REHABILITATION CENTER,AZ,5,4,5
205139,MAINEGENERAL REHAB & LONG TERM CARE - GLENRIDGE,ME,5,,5
105715,HAMPTON COURT NURSING AND REHABILITATION CENTER,FL,5,5,5
365628,S.E.M. HAVEN HEALTH CARE CENTER,OH,5,5,5
065401,LIFE CARE CENTER OF STONEGATE,CO,5,5,5
676004,THE HILLS NURSING & REHABILITATION,TX,5,4,5
555850,ALHAMBRA HOSPITAL MED CTR DP/SNF,CA,5,,5
045441,HILLCREST HOME,AR,5,3,3
145704,APOSTOLIC CHRISTIAN HOME,IL,5,3,4
555263,CASTLE MANOR CONVALESCENT CENTER,CA,5,5,5
065395,"SUITES AT HOLLY CREEK CARE CENTER, THE",CO,5,5,4
395804,LUTHERAN COMMUNITY AT TELFORD,PA,5,5,5
075290,WHITNEY CENTER,CT,5,5,4
555857,OAKVIEW SKILLED NURSING,CA,5,5,5
056024,HIGHLAND PALMS HEALTHCARE CENTER,CA,5,5,5
335844,THE KNOLLS,NY,5,5,5
155851,ORCHARD POINTE HEALTH CAMPUS,IN,5,5,5
105963,LAFAYETTE NURSING AND REHABILITATION CENTER,FL,5,5,5
385200,WILLAMETTE VIEW HEALTH CENTER,OR,5,,
405029,SERVICIOS INTEGRADOS DE REHABILITACION (SIRO) INC,PR,5,,
366395,OAKS OF BRECKSVILLE,OH,5,2,5
