PROVIDER_ID,PROVIDER_NAME,STATE,BASELINE_READMISSION_RATE,PERFORMANCE_READMISSION_RATE
555130,MAYWOOD SKILLED NURSING & WELLNESS CENTRE,CA,0.15544,0.13328
215125,THE VILLAGE AT ROCKVILLE,MD,0.13658,0.13393
396145,MENNO HAVEN REHABILITATION CENTER,PA,0.16089,0.13424
056065,SANTA CRUZ POST ACUTE,CA,0.1848,0.13611
555222,LAKEPORT POST ACUTE,CA,0.16758,0.13616
285242,BROOKESTONE VILLAGE,NE,0.18849,0.13884
525271,"ALDEN ESTATES OF COUNTRYSIDE, INC",WI,0.175,0.14079
505527,PINE RIDGE POST ACUTE,WA,0.17013,0.14081
135142,ADVANCED HEALTH CARE OF COEUR D'ALENE LLC,ID,0.17769,0.14126
245343,MINNESOTA MASONIC HOME CARE CENTER,MN,0.21785,0.14142
555316,COPPER RIDGE CARE CENTER,CA,0.16344,0.14157
335401,MOMENTUM AT SOUTH BAY FOR REHAB AND NURSING,NY,0.17124,0.14256
055919,APPLE VALLEY POST-ACUTE REHAB,CA,0.19842,0.14262
505181,REDMOND CARE AND REHABILITATION CENTER,WA,0.1915,0.1428
335185,CEDAR MANOR NURSING & REHABILITATION CENTER,NY,0.22664,0.14294
245556,PRESBYTERIAN HOMES OF BLOOMINGTON,MN,0.20307,0.14315
185138,NAZARETH HOME,KY,0.15156,0.14316
335140,BELAIR CARE CENTER INC,NY,0.17568,0.14319
035266,ADVANCED HEALTHCARE OF MESA,AZ,0.1841,0.14409
215310,GARRETT COUNTY SUBACUTE UNIT,MD,0.15458,0.14414
505382,REGENCY WENATCHEE REHABILIATION & NURSING CENTER,WA,0.17298,0.14416
535032,LIFE CARE CENTER OF CHEYENNE,WY,0.17376,0.145
335382,"THE COMMONS ON ST ANTHONY, A S N F & SHORT T R C",NY,0.1721,0.14547
245347,LYNGBLOMSTEN CARE CENTER,MN,0.18869,0.14556
065282,LIFE CARE CENTER OF LONGMONT,CO,0.18274,0.14561
505016,GRAYS HARBOR HEALTH & REHABILITATION CENTER,WA,0.17921,0.14601
056364,SUMMERFIELD HEALTH CARE CENTER,CA,0.15679,0.14603
505469,THE TERRACES AT SKYLINE,WA,0.17525,0.14675
505376,MT BAKER CARE CENTER,WA,0.20133,0.14677
495261,HERITAGE HALL-LEESBURG,VA,0.15555,0.14744
215106,GREEN ACRES NURSING AND REHAB,MD,0.17742,0.14779
285083,LINDEN COURT,NE,0.18011,0.14804
255137,NESHOBA COUNTY NURSING HOME,MS,0.18633,0.14814
555806,GLENBROOK,CA,0.17022,0.14834
155026,GREENWOOD VILLAGE SOUTH,IN,0.16528,0.1484
385112,WEST HILLS HEALTH & REHABILITATION,OR,0.17465,0.14868
505262,SHORELINE HEALTH AND REHABILITATION,WA,0.18688,0.149
555895,CREEKVIEW SKILLED NURSING,CA,0.16596,0.14901
065425,"CENTER AT FORESIGHT LLC, THE",CO,0.17957,0.14928
385214,MARQUIS MILL PARK,OR,0.15514,0.14973
315143,HOLLY MANOR CENTER,NJ,0.1898,0.14991
225738,MARY'S MEADOW AT PROVIDENCE PLACE,MA,0.18,0.14992
395678,"WILLIAMSPORT HOME, THE",PA,0.16964,0.15009
505431,BOTHELL HEALTH CARE,WA,0.17632,0.15017
175527,REGENT PARK REHABILITATION AND HEALTHCARE,KS,0.1591,0.15028
505435,ELISEO,WA,0.15812,0.15037
215230,ALLEGANY HEALTH NURSING AND REHAB,MD,0.16223,0.15048
055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",CA,0.16893,0.1505
335809,THE GROVE AT VALHALLA REHAB AND NURSING CENTER,NY,0.17131,0.15065
