PROVIDER_ID,PROVIDER_NAME,STATE,NUMBER_OF_SUBSTANTIATED_COMPLAINTS,PATIENT_COUNT_ON_1970_08_23,COMPLAINTS_PER_100_PATIENTS
165344,ASPIRE OF GOWRIE,IA,74,15,493.33
265118,ASPEN POINT HEALTH AND REHABILITATION,MO,276,60,460.00
165260,ASPIRE OF DONNELLSON,IA,55,23,239.13
24E150,GRAND AVENUE REST HOME,MN,37,16,231.25
265589,ST PETERS REHAB AND HEALTHCARE CENTER,MO,170,79,215.19
165453,ASPIRE OF WASHINGTON,IA,58,27,214.81
235487,SKLD WEST BLOOMFIELD,MI,123,66,186.36
165350,PINE ACRES REHABILITATION AND CARE CENTER,IA,95,54,175.93
165193,DUNLAP SPECIALTY CARE,IA,48,28,171.43
385091,HEARTHSTONE NURSING & REHABILITATION CENTER,OR,80,48,166.67
235719,LAKESIDE MANOR NURSING AND REHABILITATION CENTER,MI,82,51,160.78
165271,WESTWOOD SPECIALTY CARE,IA,118,74,159.46
165345,PARKRIDGE SPECIALTY CARE,IA,118,74,159.46
676384,THE MEDICAL RESORT AT SUGAR LAND,TX,35,22,159.09
265518,WINDSOR ESTATES OF ST CHARLES,MO,98,62,158.06
165601,HARMONY WEST DES MOINES,IA,149,95,156.84
235039,MISSION POINT NSG & PHY REHAB CTR OF GRANDVILLE,MI,100,64,156.25
165376,ASPIRE OF PLEASANT VALLEY,IA,59,38,155.26
145942,OAK LAWN RESPIRATORY & REHAB,IL,71,46,154.35
165280,BETTENDORF HEALTH CARE CENTER,IA,92,60,153.33
165294,AVOCA SPECIALTY CARE,IA,48,32,150.00
235023,MAJESTIC CARE OF BATTLE CREEK,MI,69,46,150.00
235590,LIVONIA WOODS NURSING AND REHABILITATION,MI,9,6,150.00
145610,BLOOMINGTON REHABILITATION & HCC,IL,61,41,148.78
245289,THE TERRACE AT CRYSTAL LLC,MN,78,53,147.17
145239,CORNERSTONE REHAB & HC,IL,62,43,144.19
385244,NEHALEM VALLEY CARE CENTER,OR,36,25,144.00
675080,THE VOSSWOOD NURSING CENTER,TX,32,23,139.13
165198,IOWA CITY REHAB & HEALTH CARE,IA,61,44,138.64
165436,IVY AT DAVENPORT,IA,78,57,136.84
165273,VIA OF DES MOINES,IA,97,72,134.72
165197,CEDAR FALLS HEALTH CARE CENTER,IA,47,35,134.29
235038,MEDILODGE OF GRAND RAPIDS,MI,60,45,133.33
165202,AZRIA HEALTH PARK PLACE,IA,68,51,133.33
676332,THE MEDICAL RESORT AT BAY AREA,TX,32,24,133.33
235214,MISSION POINT NSG & PHY REHAB CTR OF CLAWSON,MI,96,76,126.32
165466,RISEN SON CHRISTIAN VILLAGE,IA,31,25,124.00
265539,AEGIS HEALTH AND REHABILITATION,MO,48,39,123.08
235551,GREENTREE OF HUBBELL REHAB AND HEALTH,MI,62,51,121.57
395730,KADIMA REHABILITATION & NURSING AT LAKESIDE,PA,35,29,120.69
235293,MEDILODGE OF FARMINGTON,MI,78,65,120.00
205133,HERITAGE REHAB & LIVING CTR,ME,12,10,120.00
235664,MISSION POINT NSG & PHY REHAB CTR OF BEVERLY HILLS,MI,103,86,119.77
395466,MILFORD HEALTHCARE AND REHABILITATION CENTER,PA,75,63,119.05
165490,ACCURA HEALTHCARE OF CRESCO,IA,33,28,117.86
395623,GRANDVIEW NURSING AND REHABILITATION,PA,158,135,117.04
555909,COLUSA MEDICAL CENTER - SNF,CA,7,6,116.67
165458,ASPIRE OF SUTHERLAND,IA,23,20,115.00
265720,CREVE COEUR MANOR,MO,77,69,111.59
145389,WATSEKA REHAB & HLTH CARE CTR,IL,50,46,108.70
525262,FORT ATKINSON CARE CENTER,WI,52,48,108.33
165230,OAKLAND MANOR,IA,53,49,108.16
365022,HOSPITALITY CENTER FOR REHABILITATION AND HEALING,OH,53,49,108.16
245473,BAYSIDE MANOR LLC,MN,33,31,106.45
245360,GLENOAKS SENIOR LIVING CAMPUS,MN,37,35,105.71
165145,EMBASSY REHAB AND CARE CENTER,IA,41,39,105.13
165381,WINDSOR PLACE SENIOR LIVING CAMPUS,IA,24,23,104.35
055559,BAY CREST CARE CENTER,CA,77,74,104.05
146133,SANDWICH REHAB & HCC,IL,27,26,103.85
235612,FREEMAN NURSING & REHAB COMMUNITY,MI,31,30,103.33
345133,RIDGE VALLEY CENTER FOR NURSING AND REHABILITATION,NC,73,71,102.82
675222,SEABREEZE NURSING AND REHABILITATION,TX,74,72,102.78
235266,THE ORCHARDS AT SOUTHGATE,MI,75,74,101.35
345201,PELICAN HEALTH AT CHARLOTTE,NC,81,80,101.25
555832,CLARA BALDWIN STOCKER HOME FOR WOMEN,CA,41,42,97.62
14E848,DECATUR REHAB & HEALTH CARE CT,IL,38,39,97.44
675229,WOODLAND MANOR NURSING AND REHABILITATION,TX,46,48,95.83
235491,THE ORCHARDS AT ROSEVILLE,MI,113,118,95.76
365830,BRYAN HEALTHCARE AND REHABILITATION,OH,87,91,95.60
395414,AVENTURA AT TERRACE VIEW,PA,130,138,94.20
375243,JAN FRANCES CARE CENTER,OK,32,34,94.12
165049,RIDGECREST VILLAGE,IA,48,51,94.12
285178,HILLCREST CARE CENTER,NE,16,17,94.12
265703,BLUEBIRD WELLNESS AND REHABILITATION,MO,144,154,93.51
