PROVIDER_ID,PROVIDER_NAME,STATE,TOTAL_EMPLOYEE_HOURS,TOTAL_CONTRACTOR_HOURS,PERM_TO_CONTRACT_RATIO
395823,TOWNVIEW HEALTH AND REHABILITATION CENTER,PA,331.75,0.1,3317.5
215364,FUTURE CARE CAPITAL REGION,MD,649.25,0.33,1967.42
365147,HIGHLAND OAKS HEALTH CENTER,OH,299.87,0.17,1763.94
215271,FUTURE CARE SANDTOWN-WINCHESTER,MD,501.5,0.35,1432.86
145998,ALDEN DES PLAINES REHAB & HC,IL,311.75,0.25,1247
315506,PROMEDICA SKILLED NURSING & REHAB (WASHINGTON TWP),NJ,352.5,0.32,1101.56
315259,MOUNTAINSIDE SKILLED NURSING AND REHAB,NJ,422.79,0.4,1056.97
445402,"BEDROCKHC AT SPRING MEADOWS, LLC",TN,409.37,0.4,1023.43
676170,ST DOMINIC VILLAGE NURSING HOME,TX,473.95,0.5,947.9
555565,ARTESIA PALMS CARE CENTER,CA,880.89,0.98,898.87
345291,UNIVERSAL HEALTH CARE/OXFORD,NC,358.25,0.5,716.5
145382,LEE MANOR,IL,677.5,1,677.5
075386,SHADY KNOLL,CT,335.25,0.5,670.5
075208,VILLAGE CREST CENTER FOR HEALTH & REHABILITATION,CT,306.75,0.5,613.5
525542,OAK RIDGE CARE CENTER,WI,222.11,0.38,584.5
056367,THE REHABILITATION CENTER OF NORTH HILLS,CA,571.86,1,571.86
295036,NORTH LAS VEGAS CARE CENTER,NV,557.53,1,557.53
045259,THE BLOSSOMS AT WOODLAND HILLS REHAB & NURSING CEN,AR,270.5,0.5,541
106148,LUXE AT JUPITER REHABILITATION CENTER (THE),FL,395.58,0.75,527.44
145969,APERION CARE FOREST PARK,IL,505,1,505
395052,ROSEWOOD GARDENS REHABILITATION AND NURSING CENTER,PA,512.87,1.03,497.93
305079,VILLA CREST NURSING AND RETIREMENT CENTER,NH,521.08,1.08,482.48
335784,SCHERVIER PAVILION,NY,238.2,0.5,476.4
225420,CENTER FOR EXTENDED CARE AT AMHERST,MA,442,1,442
105572,POMPANO HEALTH AND REHABILITATION CENTER,FL,426.25,1,426.25
335441,CORTLANDT HEALTHCARE,NY,418,1,418
495146,BLUE RIDGE REHABILITATION AND NURSING,VA,303.35,0.73,415.55
105071,BAYSIDE CARE CENTER,FL,307.61,0.78,394.37
055776,WESTVIEW HEALTHCARE CENTER,CA,564.27,1.48,381.26
555742,DESERT MOUNTAIN CARE CENTER,CA,412.65,1.13,365.18
045315,LAKESIDE HEALTH AND REHAB,AR,349.58,1,349.58
235416,MEDILODGE OF STERLING,MI,173.9,0.5,347.8
085043,KUTZ REHABILITATION AND NURSING,DE,334.05,1,334.05
445143,SIGNATURE HEALTHCARE OF ROCKWOOD REHAB & WELLNESS,TN,324.75,1,324.75
415002,HATTIE IDE CHAFFEE HOME,RI,362.25,1.13,320.58
145753,LA BELLA OF DANVILLE,IL,300.1,1,300.1
105770,TRI-COUNTY NURSING HOME,FL,286.66,1,286.66
105791,DELANEY PARK HEALTH AND REHABILITATION CENTER,FL,281.5,1,281.5
396070,THE PINES AT PHILADELPHIA REHAB AND HEALTHCARE CTR,PA,272.41,1,272.41
245422,MILACA ELIM MEADOWS HEALTH CARE CENTER,MN,271,1,271
315299,KING MANOR CARE AND REHABILITATION CENTER,NJ,230.22,0.93,247.55
165616,THE BRIDGES AT ANKENY,IA,362.32,1.5,241.55
395777,SUGAR CREEK CARE CENTER,PA,261.1,1.1,237.36
195604,COLONIAL OAKS SKILLED NURSING AND REHABILITATION,LA,192.76,0.82,235.07
215236,FAIRFIELD NURSING & REHABILITATION CENTER,MD,234.93,1,234.93
445280,COUNTRYSIDE POST-ACUTE AND REHABILITATION CENTER,TN,379.79,1.64,231.58
106144,APOPKA HEALTH AND REHABILITATION CENTER,FL,577.75,2.5,231.1
075429,RIDGE CREST AT MEADOW RIDGE,CT,229.36,1,229.36
395790,SENECA PLACE,PA,228.68,1,228.68
055968,GOLDEN HEIGHTS HEALTHCARE,CA,393.45,1.75,224.83
056052,EDEN HEALTHCARE CENTER,CA,440.01,2,220.01
225482,ROYAL NORWELL NURSING & REHABILITATION CENTER LLC,MA,274.26,1.25,219.41
415106,ST ANTOINE RESIDENCE,RI,652.35,3,217.45
145999,APERION CARE NILES,IL,216.9,1,216.9
425138,CHANDLER CREEK POST ACUTE,SC,404.87,1.88,215.36
555028,PALOS VERDES HEALTH CARE CENTER,CA,211.59,1,211.59
085032,WESTMINSTER VILLAGE HEALTH,DE,209.5,1,209.5
555809,ALL SAINT'S SUBACUTE & TRANSITIONAL CARE,CA,407.81,1.96,208.07
365648,WILLOW KNOLL POST-ACUTE AND SENIOR LIVING,OH,190.97,0.92,207.58
555605,GLENHAVEN HEALTHCARE,CA,205.66,1,205.66
676145,PRAIRIE ESTATES,TX,547.61,2.67,205.1
146176,CELEBRATE SENIOR LIVING NILES,IL,197.3,1,197.3
555158,EL CENTRO POST-ACUTE CARE,CA,388.45,2,194.23
365375,MEADOWBROOK CARE CENTER,OH,407.25,2.25,181
315335,ATRIUM POST ACUTE CARE OF WAYNE,NJ,509,2.92,174.32
676429,CARRARA,TX,388,2.25,172.44
265561,MADISON MEDICAL CENTER,MO,257.82,1.5,171.88
525543,MARQUARDT MEMORIAL MANOR,WI,300.74,1.75,171.85
165622,THE SUITES AT WESTERN HOME COMMUNITIES,IA,324.36,1.89,171.62
165536,I O O F HOME AND COMMUNITY THERAPY CENTER,IA,255.28,1.5,170.19
106069,LAKE WALES WELLNESS AND REHABILITATION CENTER,FL,254.5,1.5,169.67
335697,EDDY VILLAGE GREEN,NY,828.8,4.96,167.1
425107,SUMTER EAST HEALTH & REHABILITATION CENTER,SC,556.89,3.34,166.73
676021,CLAREWOOD HOUSE EXTENDED CARE CENTER,TX,165.5,1,165.5
075348,ADVANCED CENTER FOR NURSING & REHABILITATION,CT,825.75,5,165.15
